,date,open,high,low,close,volume,stock_name,%_change,change,year,quarter,month
0,2022-10-03,20310,20580,19330,19330,5690400,CTG,0.13530651340996167,31.168582375478927,2022,4,10
1,2022-10-04,19690,20310,18350,18570,5635700,CTG,-3.93,-760.0,2022,4,10
2,2022-10-05,19060,19870,19060,19690,4275300,CTG,6.03,1120.0,2022,4,10
3,2022-10-06,19690,19910,19020,19150,4256200,CTG,-2.74,-540.0,2022,4,10
4,2022-10-07,19060,19060,17850,17850,8381600,CTG,-6.79,-1300.0,2022,4,10
5,2022-10-10,17630,18750,17450,18520,4923200,CTG,3.75,670.0,2022,4,10
6,2022-10-11,18520,18570,17450,17720,5492200,CTG,-4.32,-800.0,2022,4,10
7,2022-10-12,17900,18930,17810,18930,4719200,CTG,6.83,1210.0,2022,4,10
8,2022-10-13,19060,20050,18930,20050,6243400,CTG,5.92,1120.0,2022,4,10
9,2022-10-14,20450,20540,20090,20310,5662200,CTG,1.3,260.0,2022,4,10
10,2022-10-17,20230,20360,19600,20180,4713300,CTG,-0.64,-130.0,2022,4,10
11,2022-10-18,20490,20940,20450,20580,3895400,CTG,1.98,400.0,2022,4,10
12,2022-10-19,20580,20900,20180,20760,4115800,CTG,0.87,180.0,2022,4,10
13,2022-10-20,20760,21210,20270,20810,3878500,CTG,0.24,50.0,2022,4,10
14,2022-10-21,20810,20810,19380,19380,6658600,CTG,-6.87,-1430.0,2022,4,10
15,2022-10-24,19420,19690,18610,18790,4945000,CTG,-3.04,-590.0,2022,4,10
16,2022-10-25,18970,20090,18750,20090,8645300,CTG,6.92,1300.0,2022,4,10
17,2022-10-26,20090,20760,20000,20050,3449600,CTG,-0.2,-40.0,2022,4,10
18,2022-10-27,20360,21430,20140,21430,8005600,CTG,6.88,1380.0,2022,4,10
19,2022-10-28,21750,22280,21480,21520,7631500,CTG,0.42,90.0,2022,4,10
20,2022-10-31,21750,22060,20900,22020,10121500,CTG,2.32,500.0,2022,4,10
21,2022-11-01,22100,22780,21840,21880,8831500,CTG,-0.64,-140.0,2022,4,11
22,2022-11-02,21520,21970,21340,21480,5390300,CTG,-1.83,-400.0,2022,4,11
23,2022-11-03,21080,21570,21030,21120,7489200,CTG,-1.68,-360.0,2022,4,11
24,2022-11-04,20940,21930,19690,21930,13957000,CTG,3.84,810.0,2022,4,11
25,2022-11-07,21750,21930,20630,20900,7033100,CTG,-4.7,-1030.0,2022,4,11
26,2022-11-08,20580,21610,20580,21340,6274600,CTG,2.11,440.0,2022,4,11
27,2022-11-09,21570,22240,21480,21880,10208700,CTG,2.53,540.0,2022,4,11
28,2022-11-10,21570,21750,20360,20360,9623300,CTG,-6.95,-1520.0,2022,4,11
29,2022-11-11,21250,21750,20940,21120,9790500,CTG,3.73,760.0,2022,4,11
30,2022-11-14,20760,21790,20360,21390,9034900,CTG,1.28,270.0,2022,4,11
31,2022-11-15,21120,21390,19910,20940,10692800,CTG,-2.1,-450.0,2022,4,11
32,2022-11-16,19960,22280,19910,22190,13029200,CTG,5.97,1250.0,2022,4,11
33,2022-11-17,22370,23090,22060,22370,11677400,CTG,0.81,180.0,2022,4,11
34,2022-11-18,21970,22370,21030,22100,11616200,CTG,-1.21,-270.0,2022,4,11
35,2022-11-21,22100,22190,21570,21570,5680300,CTG,-2.4,-530.0,2022,4,11
36,2022-11-22,21390,22280,21030,21390,7649900,CTG,-0.83,-180.0,2022,4,11
37,2022-11-23,21390,22150,21300,21840,5920300,CTG,2.1,450.0,2022,4,11
38,2022-11-24,21700,22020,21300,22020,4141700,CTG,0.82,180.0,2022,4,11
39,2022-11-25,22280,23090,22060,23090,14164700,CTG,4.86,1070.0,2022,4,11
40,2022-11-28,23360,24570,23360,24430,11090400,CTG,5.8,1340.0,2022,4,11
41,2022-11-29,24160,24520,23360,24520,9674400,CTG,0.37,90.0,2022,4,11
42,2022-11-30,24210,25060,23850,24390,6374800,CTG,-0.53,-130.0,2022,4,11
43,2022-12-01,24480,24790,23270,23400,10765700,CTG,-4.06,-990.0,2022,4,12
44,2022-12-02,23540,25010,23310,25010,8942500,CTG,6.88,1610.0,2022,4,12
45,2022-12-05,25510,25590,24880,25590,7687500,CTG,2.32,580.0,2022,4,12
46,2022-12-06,25150,25590,24030,24160,7661900,CTG,-5.59,-1430.0,2022,4,12
47,2022-12-07,24070,24880,23940,24480,4099300,CTG,1.32,320.0,2022,4,12
48,2022-12-08,24700,25860,24520,24880,5282700,CTG,1.63,400.0,2022,4,12
49,2022-12-09,24880,25100,24210,25100,4989800,CTG,0.88,220.0,2022,4,12
50,2022-12-12,25060,25240,24570,24570,3851100,CTG,-2.11,-530.0,2022,4,12
51,2022-12-13,24430,25240,24250,25190,3912200,CTG,2.52,620.0,2022,4,12
52,2022-12-14,25420,25460,24920,24970,2422900,CTG,-0.87,-220.0,2022,4,12
53,2022-12-15,24970,25280,24970,25280,3529300,CTG,1.24,310.0,2022,4,12
54,2022-12-16,24830,25280,24830,25100,3220100,CTG,-0.71,-180.0,2022,4,12
55,2022-12-19,25060,25510,24660,24660,5166900,CTG,-1.75,-440.0,2022,4,12
56,2022-12-20,24660,25060,23800,25060,6578800,CTG,1.62,400.0,2022,4,12
57,2022-12-21,25060,25060,24160,24610,3061700,CTG,-1.8,-450.0,2022,4,12
58,2022-12-22,24610,25190,24610,24700,3346000,CTG,0.37,90.0,2022,4,12
59,2022-12-23,24610,25010,24430,24740,2821500,CTG,0.16,40.0,2022,4,12
60,2022-12-26,24740,24790,23270,23310,2958900,CTG,-5.78,-1430.0,2022,4,12
61,2022-12-27,23360,23540,23270,23400,1306600,CTG,0.39,90.0,2022,4,12
63,2022-12-28,23800,24340,23540,24300,1890200,CTG,2.1,500.0,2022,4,12
64,2022-12-29,24250,24610,24070,24160,1718100,CTG,-0.58,-140.0,2022,4,12
65,2022-12-30,24160,24480,23940,24390,1394100,CTG,0.95,230.0,2022,4,12
66,2023-01-03,24480,25060,24390,25060,3477200,CTG,2.75,670.0,2023,1,1
67,2023-01-04,25060,25860,24970,25510,5783700,CTG,1.8,450.0,2023,1,1
68,2023-01-05,25510,25730,25280,25510,2113300,CTG,0.0,0.0,2023,1,1
69,2023-01-06,25510,26180,25100,25590,6735200,CTG,0.31,80.0,2023,1,1
70,2023-01-09,25680,26040,25680,26040,4251600,CTG,1.76,450.0,2023,1,1
71,2023-01-10,26130,26130,25550,25550,3055300,CTG,-1.88,-490.0,2023,1,1
72,2023-01-11,25590,26090,25590,26040,3425200,CTG,1.92,490.0,2023,1,1
73,2023-01-12,26040,26130,25730,25860,2471500,CTG,-0.69,-180.0,2023,1,1
74,2023-01-13,26040,26130,25420,26040,2974400,CTG,0.7,180.0,2023,1,1
75,2023-01-16,26040,26850,25860,26850,5345500,CTG,3.11,810.0,2023,1,1
76,2023-01-17,26940,27430,26940,27380,3475900,CTG,1.97,530.0,2023,1,1
77,2023-01-18,27380,27610,27210,27520,3204700,CTG,0.51,140.0,2023,1,1
78,2023-01-19,27470,27830,26980,27830,5008400,CTG,1.13,310.0,2023,1,1
79,2023-01-27,27830,27970,27030,27160,3426200,CTG,-2.41,-670.0,2023,1,1
80,2023-01-30,26850,26980,26580,26620,3739500,CTG,-1.99,-540.0,2023,1,1
81,2023-01-31,26580,27300,26400,27300,3448000,CTG,2.55,680.0,2023,1,1
82,2023-02-01,27300,27430,25510,25950,4346000,CTG,-4.95,-1350.0,2023,1,2
83,2023-02-02,25950,26360,25680,26130,3143700,CTG,0.69,180.0,2023,1,2
