,date,open,high,low,close,volume,stock_name,%_change,change
0,2024-11-01,35550,35950,35500,35600,7983200,CTG,,
1,2024-11-04,35550,35950,35350,35700,5247600,CTG,0.28,100.0
2,2024-11-05,35500,35700,35050,35050,4093100,CTG,-1.82,-650.0
3,2024-11-06,35200,35900,35100,35900,3543500,CTG,2.43,850.0
4,2024-11-07,35900,36150,35600,35600,3822400,CTG,-0.84,-300.0
5,2024-11-08,35700,36000,34800,35000,4916300,CTG,-1.69,-600.0
6,2024-11-11,35000,35000,33850,34950,16325500,CTG,-0.14,-50.0
7,2024-11-12,34800,34850,34200,34500,3342200,CTG,-1.29,-450.0
8,2024-11-13,34450,34500,33950,34350,4244200,CTG,-0.43,-150.0
9,2024-11-14,34300,34300,33600,33600,5270200,CTG,-2.18,-750.0
10,2024-11-15,33600,33600,32800,33100,8350400,CTG,-1.49,-500.0
11,2024-11-18,33100,33650,32700,33300,4072900,CTG,0.6,200.0
12,2024-11-19,33500,33600,33000,33350,5280700,CTG,0.15,50.0
13,2024-11-20,33050,34000,33050,34000,6494000,CTG,1.95,650.0
14,2024-11-21,34000,35000,33600,35000,7810800,CTG,2.94,1000.0
15,2024-11-22,34900,35200,34700,35000,6181600,CTG,0.0,0.0
16,2024-11-25,34950,35100,34700,35100,3824500,CTG,0.29,100.0
17,2024-11-26,35000,35350,34900,35300,4538800,CTG,0.57,200.0
18,2024-11-27,35100,35300,34950,35150,2761100,CTG,-0.42,-150.0
19,2024-11-28,35300,35400,34950,35400,3289800,CTG,0.71,250.0
20,2024-11-29,35500,35850,35250,35750,5142400,CTG,0.99,350.0
21,2024-12-02,35900,36000,35700,35850,4468300,CTG,0.28,100.0
22,2024-12-03,35950,35950,35450,35900,5261300,CTG,0.14,50.0
23,2024-12-04,35600,35700,35300,35300,4137800,CTG,-1.67,-600.0
24,2024-12-05,35300,36500,35050,36400,10395100,CTG,3.12,1100.0
25,2024-12-06,36500,36650,36250,36250,5625800,CTG,-0.41,-150.0
26,2024-12-09,36150,36500,36050,36450,4392500,CTG,0.55,200.0
27,2024-12-10,36450,36500,36100,36350,3293400,CTG,-0.27,-100.0
28,2024-12-11,36300,36600,36200,36350,4390000,CTG,0.0,0.0
29,2024-12-12,36400,36800,36200,36300,5010500,CTG,-0.14,-50.0
30,2024-12-13,36150,36500,36100,36350,4180300,CTG,0.14,50.0
31,2024-12-16,36350,36700,36200,36250,2866500,CTG,-0.28,-100.0
32,2024-12-17,36250,36350,36050,36250,3429900,CTG,0.0,0.0
33,2024-12-18,36200,36400,35800,36250,2933300,CTG,0.0,0.0
34,2024-12-19,35850,36200,35600,36200,6319500,CTG,-0.14,-50.0
35,2024-12-20,36000,36150,35700,36150,3418200,CTG,-0.14,-50.0
36,2024-12-23,36200,36300,36100,36250,3097200,CTG,0.28,100.0
37,2024-12-24,36100,36200,35900,36200,2831100,CTG,-0.14,-50.0
38,2024-12-25,36200,38700,36200,38200,25190700,CTG,5.52,2000.0
39,2024-12-26,38400,38400,38000,38200,4847100,CTG,0.0,0.0
40,2024-12-27,38350,38800,38000,38800,9539300,CTG,1.57,600.0
41,2024-12-30,38500,38900,38350,38900,7210600,CTG,0.26,100.0
42,2024-12-31,38600,38700,37800,37800,5449700,CTG,-2.83,-1100.0
43,2025-01-02,38000,38300,37600,38100,5742600,CTG,0.79,300.0
44,2025-01-03,37800,38000,37200,37200,10284500,CTG,-2.36,-900.0
45,2025-01-06,37250,37650,37050,37200,6045300,CTG,0.0,0.0
46,2025-01-07,37500,38000,37150,37450,6267400,CTG,0.67,250.0
47,2025-01-08,37400,37900,37250,37800,3664700,CTG,0.93,350.0
48,2025-01-09,37800,37900,37250,37400,4056700,CTG,-1.06,-400.0
49,2025-01-10,37400,38200,37200,37500,7501000,CTG,0.27,100.0
50,2025-01-13,37200,37700,36200,37700,9377500,CTG,0.53,200.0
51,2025-01-14,37450,37900,36900,36950,3716700,CTG,-1.99,-750.0
52,2025-01-15,37000,37100,36600,36750,4980700,CTG,-0.54,-200.0
53,2025-01-16,36850,37200,36400,36800,6641100,CTG,0.14,50.0
54,2025-01-17,36800,37200,36600,37200,3948300,CTG,1.09,400.0
55,2025-01-20,37250,37700,37150,37300,4400000,CTG,0.27,100.0
56,2025-01-21,37450,37800,37050,37300,5502600,CTG,0.0,0.0
57,2025-01-22,37600,37600,37250,37300,4497700,CTG,0.0,0.0
58,2025-01-23,37400,38200,37300,38100,7583800,CTG,2.14,800.0
59,2025-01-24,38100,38150,37750,38000,5047600,CTG,-0.26,-100.0
60,2025-02-03,38250,38600,37800,38050,8325900,CTG,0.13,50.0
61,2025-02-04,38250,39750,38050,39400,14538400,CTG,3.55,1350.0
62,2025-02-05,39650,39700,39100,39350,6686000,CTG,-0.13,-50.0
